cv_id	glytoucan_ac	pubchem_ac
70678779	G40569DS	70678779
70678800	G88998BE	70678800
70678810	G25407RZ	70678810
70678824	G95595RA	70678824
70678825	G27432KC	70678825
70678867	G64050LH	70678867
70678868	G81697WS	70678868
70678893	G85213RR	70678893
70678906	G34356AA	70678906
70678907	G92743LI	70678907
70678908	G60713GB	70678908
70678911	G21808VY	70678911
70678912	G24095BS	70678912
70678913	G07357YR	70678913
70678929	G90719NY	70678929
70678930	G09938IH	70678930
70678933	G08176ZW	70678933
70678935	G26298FT	70678935
70678936	G70573KH	70678936
70678938	G04624DG	70678938
70678943	G09482NW	70678943
70678946	G29548YX	70678946
70678947	G20744UW	70678947
70678948	G01759NM	70678948
70678954	G13058JI	70678954
70678956	G36698XD	70678956
70678957	G06873PC	70678957
70678959	G04187IN	70678959
70678962	G96865DJ	70678962
70678968	G72822QF	70678968
70678969	G29014XV	70678969
70678972	G26166QH	70678972
70678974	G43784HS	70678974
70678979	G09921WG	70678979
70678986	G35116BF	70678986
70678988	G74709RD	70678988
70678989	G64633BH	70678989
70678990	G71451AZ	70678990
70679009	G02425YO	70679009
70679020	G51773AH	70679020
70679023	G44738JR	70679023
70679026	G85383RY	70679026
70679027	G59754DB	70679027
70679038	G73971ME	70679038
70679039	G12661AN	70679039
70679043	G46055MA	70679043
70679044	G61730RY	70679044
70679046	G01935FK	70679046
70679097	G45188RH	70679097
70679126	G46568RJ	70679126
70679172	G32723SL	70679172
70679212	G83666FZ	70679212
70679232	G78059CC	70679232
70679233	G69411IG	70679233
70679237	G75850OP	70679237
70679239	G13773HT	70679239
70679240	G97894OW	70679240
70679241	G30558XQ	70679241
